ticker,company_name,exchange,country,currency,sector,industry,status,stock_info_file,source,price,market_cap,pe_ratio,date_found,date_last_updated,next_review_date,last_filing_checked,last_news_checked,last_sentiment_checked,alert_level,thesis_status,notes
AXTI,AXT Inc.,NASDAQ,United States,USD,Technology,Semiconductor Equipment & Materials,current_holding,stock_tracking/stock_info_files/current_holdings/AXTI.md,user_confirmed_holding,121.7,7962001408,,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
NBIS,Nebius Group N.V.,NASDAQ,Netherlands,USD,Communication Services,Internet Content & Information,current_holding,stock_tracking/stock_info_files/current_holdings/NBIS.md,user_confirmed_holding,213.33,54164103168,82.37,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
MU,Micron Technology Inc.,NASDAQ,United States,USD,Technology,Semiconductors,current_holding,stock_tracking/stock_info_files/current_holdings/MU.md,user_confirmed_holding,732.28,825811468288,34.56,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
GOOGL,Alphabet Inc.,NASDAQ,United States,USD,Communication Services,Internet Content & Information,current_holding,stock_tracking/stock_info_files/current_holdings/GOOGL.md,user_confirmed_holding,396.28,4801047298048,30.23,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; using GOOGL share class by default.
IREN,IREN Limited,NASDAQ,Australia,USD,Financial Services,Capital Markets,current_holding,stock_tracking/stock_info_files/current_holdings/IREN.md,user_confirmed_holding,53.54,19134054400,69.53,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; interpreted as IREN Limited rather than Italian utility Iren S.p.A.
OSS,One Stop Systems Inc.,NASDAQ,United States,USD,Technology,Computer Hardware,current_holding,stock_tracking/stock_info_files/current_holdings/OSS.md,user_confirmed_holding,16.36,405221120,,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
TE,T1 Energy Inc.,NYSE,United States,USD,Industrials,Electrical Equipment & Parts,current_holding,stock_tracking/stock_info_files/current_holdings/TE.md,user_confirmed_holding,5.62,1566986880,,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
AMBA,Ambarella Inc.,NASDAQ,United States,USD,Technology,Semiconductor Equipment & Materials,current_holding,stock_tracking/stock_info_files/current_holdings/AMBA.md,user_confirmed_holding,81.27,3558722048,,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; interpreted user spelling Ambarelly as Ambarella Inc.
AVAV,AeroVironment Inc.,NASDAQ,United States,USD,Industrials,Aerospace & Defense,current_holding,stock_tracking/stock_info_files/current_holdings/AVAV.md,user_confirmed_holding,157.72,7981431808,,2026-05-15,2026-05-15,2026-05-16,,,,medium,unknown,User confirmed holding; added before first biweekly automation run.
LPK.DE,LPKF Laser & Electronics SE,XETRA,Germany,EUR,Industrials,Industrial Machinery,current_holding,stock_tracking/stock_info_files/current_holdings/LPK.DE.md,user_confirmed_holding,22.2,543800000,55.5,2026-05-18,2026-05-18,2026-05-23,,2026-05-18,2026-05-18,medium,constructive_but_watch,User confirmed holding; XETRA/Yahoo-compatible ticker used for provider compatibility; LIDE order conversion is the key checkpoint.
SIVE.ST,Sivers Semiconductors AB,Nasdaq Stockholm,Sweden,SEK,Technology,Semiconductors,current_holding,stock_tracking/stock_info_files/current_holdings/SIVE.ST.md,user_confirmed_holding,55.7,14147115001,-278.5,2026-05-18,2026-05-18,2026-05-23,,2026-05-18,2026-05-18,high,neutral,User confirmed holding; valuation fields need cross-provider review due market-cap conflict and 52-week-range warning.
